domain,model,a1,a2,n_paired,acc_a1,acc_a2,delta_a2_a1,delta_ci_lo,delta_ci_hi,mcnemar_b,mcnemar_c,mcnemar_p,cohen_h
legal,claude_sonnet_4_6,1,3,3000,0.8783333333333333,0.7243333333333334,-0.15399999999999991,-0.16966666666666663,-0.139,526,64,2.7559117847109863e-91,-0.3929267160879566
legal,claude_sonnet_4_6,1,4,3000,0.8783333333333333,0.7203333333333334,-0.15799999999999992,-0.17266666666666675,-0.14400000000000002,545,71,1.7160751094983492e-91,-0.40185836823417453
legal,claude_sonnet_4_6,2,3,3000,0.777,0.7243333333333334,-0.05266666666666664,-0.06833333333333336,-0.03833333333333333,364,206,3.646428814936156e-11,-0.12188845522012048
legal,claude_sonnet_4_6,2,4,3000,0.777,0.7203333333333334,-0.05666666666666664,-0.07233333333333336,-0.04066666666666674,373,203,1.3145362768105366e-12,-0.13082010736633842
legal,claude_sonnet_4_6,3,4,3000,0.7243333333333334,0.7203333333333334,-0.0040000000000000036,-0.019333333333333425,0.01133333333333331,303,291,0.6517842327911206,-0.008931652146217939
logic,gpt_4o,1,2,1440,0.21458333333333332,0.38680555555555557,0.17222222222222225,0.13819444444444445,0.20555555555555555,188,436,1.2012226463952399e-23,0.37915172810491304
logic,gpt_4o,1,3,1470,0.21360544217687075,0.24965986394557824,0.03605442176870749,0.011564625850340127,0.060544217687074825,140,193,0.004307697404786585,0.08551995569568427
logic,gpt_4o,2,3,1470,0.38571428571428573,0.24625850340136055,-0.13945578231292519,-0.17142857142857143,-0.10612244897959183,426,221,6.067943166201613e-16,-0.3016511500780976
logic,claude_sonnet_4_6,1,2,1500,0.18,0.22266666666666668,0.042666666666666686,0.022650000000000003,0.06333333333333332,96,160,7.605297913709952e-05,0.1065359590519308
logic,claude_sonnet_4_6,1,3,1500,0.18,0.20333333333333334,0.023333333333333345,0.0006666666666666765,0.04466666666666666,128,163,0.046062688567741546,0.059304705113780276
logic,claude_sonnet_4_6,1,4,1500,0.18,0.19666666666666666,0.016666666666666663,-0.007333333333333331,0.038666666666666655,139,164,0.16786241187896458,0.04263751996284659
logic,claude_sonnet_4_6,2,3,1500,0.22266666666666668,0.20333333333333334,-0.01933333333333334,-0.03733333333333333,-0.0013333333333333253,106,77,0.038178182997266906,-0.04723125393815053
logic,claude_sonnet_4_6,2,4,1500,0.22266666666666668,0.19666666666666666,-0.026000000000000023,-0.044016666666666676,-0.007333333333333331,120,81,0.007203828622098743,-0.06389843908908421
logic,claude_sonnet_4_6,3,4,1500,0.20333333333333334,0.19666666666666666,-0.006666666666666682,-0.02266666666666667,0.009333333333333332,89,79,0.48756699557998695,-0.016667185150933683
long_context,gpt_4o,1,2,902,0.007760532150776054,0.028824833702882482,0.02106430155210643,0.008869179600886918,0.0321784922394677,5,24,0.0005461126565933228,0.1647939192370047
long_context,gpt_4o,1,3,902,0.007760532150776054,0.0022172949002217295,-0.005543237250554324,-0.012195121951219513,0.0011086474501108647,7,2,0.1796875,-0.08220529043176036
long_context,gpt_4o,1,4,902,0.007760532150776054,0.009977827050997782,0.0022172949002217286,-0.004434589800443459,0.008869179600886918,4,6,0.75390625,0.023695423530737197
long_context,gpt_4o,2,3,902,0.028824833702882482,0.0022172949002217295,-0.026607538802660754,-0.037694013303769404,-0.01662971175166297,26,2,3.032386302947998e-06,-0.24699920966876507
long_context,gpt_4o,2,4,902,0.028824833702882482,0.009977827050997782,-0.0188470066518847,-0.031042128603104215,-0.006651884700665189,24,7,0.003326892852783203,-0.1410984957062675
long_context,gpt_4o,3,4,902,0.0022172949002217295,0.009977827050997782,0.007760532150776053,0.0022172949002217295,0.014412416851441241,1,8,0.0390625,0.10590071396249756
